Filename,Author/Creator Name,Date,Work Title,Editors,Publisher,Volume Number,Issue Number,Page Numbers,Department,,,,,,,,,,,,,,,,,,,,
SérorJérémie_GuillaumeGentil_DevelopingacademicbiliteracyLongitudinalcasestudiesoflearningtowriteinCanadasofficiallanguages_2019.txt,Séror Jérémi & Gentil Guillaume ,2019,"""Developing academic biliteracy: Longitudinal case studies of learning to write in Canada's official languages""",,Carleton University,,,,Linguistics,,,,,,,,,,,,,,,,,,,,
SheyholislamiJaffer_DiscoursePracticesofKurishInternet_2011.txt,Sheyholislami Jaffer,2011,"""Discourse Practices of Kurdish Internet"" Kurdish Identity Discourse and New Media""",,Palgrave Macmillan,,,pp. 139-152,Linguistics,,,,,,,,,,,,,,,,,,,,
SheyholislamiJaffer_KurdishNewMedia_2010.txt,Sheyholislami Jaffer,2010,"""Identity language and new media: the Kurdish case""",,Language Policy,9,4,pp. 289-312,Linguistics,,,,,,,,,,,,,,,,,,,,
SheyholislamiJaffer_LinguisticMinoritiesontheInternet_2012.txt,Sheyholislami Jaffer,2012,"""Linguistic Minorities on the Internet"" Computer-Mediated Communication across Cultures: International Interactions in Online Environments",Kirk St. Amant & Kelsey Sigrid (Eds.),IGI Global Publication,,,pp. 235-250,Linguistics,,,,,,,,,,,,,,,,,,,,
TanasescuChris_CommunityStrikeArtPostdigital_2016.txt,Tanasescu Chris,2016,“Community as Commoning (Dis)Placing and (Trans)versing: From Participatory and ‘Strike Art’ to the Postdigital” ,,Dacoromania Litteraria,3,,pp. 10-44,English,,,,,,,,,,,,,,,,,,,,
TanasescuChris_USPoetsForeignPoetsAComputationallyAssembledAnthology_2019.txt,Tanasescu Chris,2019,"""“US” Poets Foreign Poets: A Computationally Assembled Anthology""",,Asymptote,,,,English,,,,,,,,,,,,,,,,,,,,
TanasescuChris_MetaphorDetectionDeepLearning_2018.txt,Tanasescu Chris et al.,2018,"""Metaphor Detection by Deep Learning and the Place of Poetic Metaphor in Digital Humanities""",,AAAI Publications The Thirty-First International Flairs Conference,,,pp. 122-127,English,,,,,,,,,,,,,,,,,,,,
TaylorAnne_SocialMediaasaToolforInclusion_2018.txt,Taylor Anne,2011,"""Social Media as a Tool for Inclusion""",,Stiles Associates Inc.,,,pp. 1–86,Sociology,,,,,,,,,,,,,,,,,,,,
ThebergePaul_NewIdealinMusic_2004.txt,Théberge Paul,2004,"""The Network Studio: Historical and Technological Paths to a New Ideal in Music Making""",,Social Studies of Science,34,6,pp. 759-781,Music,,,,,,,,,,,,,,,,,,,,
ThebergePaul_LivingStereo_2015.txt,Théberge Paul et al.,2015,"""Living Stereo Histories and Cultures of Multichannel Sound""",,Bloomsbury Academic,,,,Music,,,,,,,,,,,,,,,,,,,,
TheRideauHallFoundationCANADASCULTUREOFNNOVATIONINDEX_2019.txt,The Rideau Hall Foundation ,2019,"""CANADA’S CULTURE OF INNOVATION INDEX""",,The Rideau Hall Foundation ,,,pp. 1-52,Communications,,,,,,,,,,,,,,,,,,,,
TrepanierAnne_OnlineHuntingGatheringandSharing_April2018.txt,Trépanier Anne & Petrovic-Dzerdz Maristela ,2018,"""Online Hunting Gathering and Sharing - A Return to Experiential Learning in a Digital Age""",,Carleton University,19,2,,Education,,,,,,,,,,,,,,,,,,,,
WatsonJada_GenderSongsChart_2018.txt,Watson Jada,2019,"""Gender on the Billboard Hot Country Songs Chart 1996–2016""",,Popular Music and Society,42,5,pp. 538-560,Music,,,,,,,,,,,,,,,,,,,,
WoodCristina_LebretonFlats_2018.txt,Wood Cristina,2018,"""Picturing Lebreton Flats""",,Carleton University,,,,History,,,,,,,,,,,,,,,,,,,,
WoodCristina_SongsofOttawa_2019.txt,Wood Cristina,2019,"""Songs of the Ottawa River""",,Carleton University,,,,History,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
